"","cp3q2Mean","cp3q2Sd"
"V1",0.274347260646063,0.0676277962784943
"V2",-0.0177434918458972,0.0371281663827435
"V3",-0.108925032737064,0.0530330859935597
"V4",-0.607783818968688,0.438693831339194
"V5",-0.510191378479501,0.500239766883052
"V6",-0.61306429934125,0.403656584651858
"V7",-0.633592610907429,0.413333018338302
"V8",-0.525696539001884,0.484200647735623
"V9",-0.61498890978365,0.399034058245509
"V10",-0.466732370523269,0.538706787937137
"V11",-0.305180462546411,0.279920275645106
"V12",-0.562229619850407,0.282990528345684
"V13",0.525304172511095,0.35658895383491
"V14",0.389536587321513,0.338844070101853
"V15",0.598021923353949,0.290614654527968
"V16",-0.552087115648893,0.461374610489333
"V17",-0.825459670396252,0.247051818372546
"V18",-0.902704282327838,0.125987849568003
"V19",-0.854661759222973,0.205997502274485
"V20",-0.689161821371472,0.359208955275679
"V21",-0.643511768623583,0.368864626867882
"V22",-0.640685815482928,0.372065441972237
"V23",-0.100331848808134,0.462315492015796
"V24",-0.128765122937701,0.433687257153052
"V25",-0.157863394141636,0.368101697846064
"V26",-0.118954333677729,0.30772148256937
"V27",0.108573706261895,0.247139818354679
"V28",-0.0356994169213299,0.24782017417328
"V29",0.122000192842546,0.232044067142965
"V30",-0.029676503537188,0.254461172108767
"V31",0.0317237742172389,0.213707644491184
"V32",0.155147508424199,0.208718482461815
"V33",-0.0180767920878722,0.22025683499872
"V34",0.00611033964754394,0.281721843867417
"V35",0.0377291540841395,0.215456028850331
"V36",0.034423733821314,0.236854255066669
"V37",-0.0826692044542652,0.230957461626828
"V38",-0.120308569497857,0.357676934489248
"V39",-0.19774621582879,0.325103253809755
"V40",0.102198864072034,0.376048745505092
"V41",0.669226222373046,0.515485780308741
"V42",0.00403879092060517,0.378909215421356
"V43",0.0921508600211059,0.334270168704641
"V44",-0.965207115039421,0.0777147960480108
"V45",-0.95440802665318,0.0852866205384834
"V46",-0.938900969424022,0.101554847657515
"V47",-0.966017547593359,0.0761984074973394
"V48",-0.955361184463938,0.0842337759905093
"V49",-0.940206277312749,0.100521377576158
"V50",0.609058202575891,0.509003275335256
"V51",-0.0103216842233446,0.366683488644674
"V52",0.0967393305199664,0.329611069144372
"V53",0.683762046463103,0.507051553876899
"V54",0.0166078634418512,0.376404366728383
"V55",0.0793492718974707,0.336731410192899
"V56",-0.0985870819600584,0.39194457685093
"V57",0.446206727733547,0.696454611374246
"V58",-0.721469908539694,0.454408668282572
"V59",-0.763609232749742,0.424081696116968
"V60",-0.968239871201476,0.0717859944176486
"V61",-0.958592816013108,0.0806892568819021
"V62",-0.944775940840858,0.0960495894031246
"V63",-0.674768951348029,0.361048291089865
"V64",-0.866704392505228,0.281431008934707
"V65",-0.669100243301527,0.393154812472846
"V66",-0.504401651936594,0.216469557472953
"V67",0.542886549905516,0.20979116415504
"V68",-0.580674458607939,0.207895539861647
"V69",0.617818193775729,0.210734591739111
"V70",-0.343618301448707,0.293287453345593
"V71",0.330183502639498,0.299026168408569
"V72",-0.360744984572308,0.291191538146509
"V73",0.408875435293201,0.282566749250549
"V74",-0.428082912307475,0.268260437215381
"V75",0.453367251514286,0.259414267706556
"V76",-0.478049652346497,0.25337848973178
"V77",0.499489809797114,0.249913454913049
"V78",0.17568274446598,0.696326676277864
"V79",-0.108287775463795,0.703940669950718
"V80",0.0848488415988038,0.701159247972398
"V81",0.0789381220355816,0.176112457141583
"V82",0.0079481069090025,0.164518387624882
"V83",-0.00467469823628666,0.155978985687957
"V84",-0.63978102073413,0.408711816447501
"V85",-0.607971599340832,0.43288446111401
"V86",-0.762820240449202,0.277901388841564
"V87",-0.636851832334041,0.413603899753198
"V88",-0.594046436674004,0.446134739812249
"V89",-0.756511705504896,0.283632230305184
"V90",-0.699625727365398,0.359868403041266
"V91",-0.747833595469583,0.293669344905603
"V92",-0.818722317836936,0.223993152704084
"V93",0.616034393890846,0.435520561878772
"V94",0.684870159457075,0.359038828916912
"V95",0.739588241708783,0.306461594197294
"V96",-0.64699127583794,0.39270939928907
"V97",-0.850337515970628,0.214780937496912
"V98",-0.827254361855015,0.243041127800684
"V99",-0.930710203190173,0.117932196316046
